"","Party.Name","FB.link","FB.handle","Twitter.handle","Comment","code"
"1","Слуга Народу","https://www.facebook.com/sluganarodu.official","sluganarodu.official","sluganarodu_pp","","3025"
"2","ОППОЗИЦИОННАЯ ПЛАТФОРМА - ЗА ЖИЗНЬ","https://www.facebook.com/OppositionPlatformForLife","OppositionPlatformForLife","oppo_platform","","3026"
"3","Батьківщина","https://www.facebook.com/Batkivshchyna","Batkivshchyna","Batkivshchyna","","3027"
"4","Європейська Солідарність","https://www.facebook.com/EuropeanSolidarity.official","EuropeanSolidarity.official","Euro_Solidarity","","3028"
"5","Голос","https://www.facebook.com/GolosZmin","GolosZmin","GolosZmin","","3029"
"6","Політична партія «ЗА МАЙБУТНЄ»","https://www.facebook.com/ForFutureOfficial","ForFutureOfficial","ForFutureUA","","3030"
"7","Депутатська група ""Довіра""","https://www.facebook.com/DoviraVerkhovnaRada","DoviraVerkhovnaRada","","no twitter",""
